,Latitud,Ano,Mes,Dia,Longitud,Temp_max_emas,Temp_min_emas,Temp_max_merra,Temp_min_merra,Temp_mean_merra,Temp_mean_emas,Topoforma,Topoforma_cod
10891,24.146278385638208,2019.0,3.0,2.0,-105.3655244018832,28.514955561826376,6.7337356155743455,28.514955561826376,6.7337356155743455,15.53302921120913,15.53302921120913,Meseta,6
10892,21.15449394061638,2019.0,3.0,2.0,-102.09966262707758,29.080007332518097,9.713360529581156,29.080007332518097,9.713360529581156,19.26934566031032,19.26934566031032,Meseta,6
10893,19.03499571894838,2019.0,3.0,2.0,-102.0008981936868,34.39424225207916,17.473214837666777,34.39424225207916,17.473214837666777,24.495464831340122,24.495464831340122,Meseta,6
10894,20.687080884883837,2019.0,3.0,2.0,-101.01976050564791,30.381568606026242,11.030102745830302,30.381568606026242,11.030102745830302,19.988298293938907,19.988298293938907,Meseta,6
10895,21.092342243830224,2019.0,3.0,2.0,-101.84668687276513,28.987400795047357,9.984718559030407,28.987400795047357,9.984718559030407,19.414096617338366,19.414096617338366,Meseta,6
10896,22.13540010935218,2019.0,3.0,2.0,-102.39420069256381,28.235680047385948,8.320294636466619,28.235680047385948,8.320294636466619,17.519709570824,17.519709570824,Meseta,6
10897,22.370676947921577,2019.0,3.0,2.0,-103.55923987746253,29.7549134995583,9.298609438673862,29.7549134995583,9.298609438673862,18.076201486750918,18.076201486750918,Meseta,6
10898,18.444996132415305,2019.0,3.0,2.0,-98.1759282545907,32.836699427734516,14.361928029859627,32.836699427734516,14.361928029859627,22.774687858556252,22.774687858556252,Meseta,6
10899,21.10096422910072,2019.0,3.0,2.0,-100.21648271706776,30.581961304466326,11.866481119263657,30.581961304466326,11.866481119263657,19.719026085902826,19.719026085902826,Meseta,6
10900,23.38900236073192,2019.0,3.0,2.0,-109.73592505158078,28.683712036361314,19.099448452329472,28.683712036361314,19.099448452329472,23.12389943974897,23.12389943974897,Meseta,6
10901,20.448432660981496,2019.0,3.0,2.0,-101.74304082622687,30.671704275177476,11.176503106536282,30.671704275177476,11.176503106536282,20.10393142226171,20.10393142226171,Meseta,6
10902,20.564569132465376,2019.0,3.0,2.0,-101.86556344216066,30.60657231169163,11.080727881020827,30.60657231169163,11.080727881020827,20.11280669732094,20.11280669732094,Meseta,6
